data_inversa,n_crashes
2024-11-26,183
2024-11-27,187
2024-11-28,187
2024-11-29,196
2024-11-30,210
2024-12-01,248
2024-12-02,197
2024-12-03,180
2024-12-04,176
2024-12-05,178
2024-12-06,245
2024-12-07,269
2024-12-08,215
2024-12-09,209
2024-12-10,191
2024-12-11,197
2024-12-12,196
2024-12-13,223
2024-12-14,265
2024-12-15,245
2024-12-16,187
2024-12-17,196
2024-12-18,192
2024-12-19,219
2024-12-20,280
2024-12-21,319
2024-12-22,281
2024-12-23,222
2024-12-24,178
2024-12-25,218
2024-12-26,192
2024-12-27,211
2024-12-28,200
2024-12-29,145
2024-12-30,157
2024-12-31,156
